abhaasi (ab)
luluanluba (lua)
lunda (lun)
luo (luo)
luokittelematon kieli (mis)
lusai (lus)
luulajansaame (smj)
luxemburg (lb)
länsifriisi (fy)
maasai (mas)
madura (mad)
magahi (mag)
maithili (mai)
makassar (mak)
makedonia (mk)
malagassi (mg)
malaiji (ms)
malajalam (ml)
malawintonga (tog)
malta (mt)
mandar (mdr)
mandingo (man)
manipuri (mni)
manobo-kieli (mno)
mantšu (mnc)
manx (gv)
maori (mi)
marathi (mr)
mari (chm)
marshall (mh)
marwari (mwr)
maya-kieli (myn)
mende (men)
micmac (mic)
minangkabau (min)
mirandeesi (mwl)
mohawk (moh)
mokša (mdf)
moldavia (mo)
mon-khmer-kieli (mkh)
mongo (lol)
mongoli (mn)
monia kieliä (mul)
mossi (mos)
muinaisegypti (egy)
muinaisenglanti (ang)
muinaisiiri (sga)
muinaiskreikka (grc)
muinaisnorja (non)
muinaispersia (peo)
muinaisprovensaali (pro)
muinaisranska (fro)
muinaissyyria (syc)
muinaisyläsaksa (goh)
mundakieli (mun)
mustajalka (bla)
määrittämätön (und)
nahuatl (nah)
napoli (nap)
nauru (na)
navajo (nv)
ndonga (ng)
nepali (ne)
newari (new)
nias (nia)
nigeriläis-kongolainen kieli (nic)
niililäis-saharalainen kieli (ssa)
niue (niu)
njandža (ny)
nogai (nog)
norja (no)
norjan bokmål (nb)
norjan nynorsk (nn)
norsunluurannikonkoro (kfo)
nubialainen kieli (nub)
nyamwezi (nym)
nyankole (nyn)
nyoro (nyo)
nzima (nzi)
n’ko (nqo)
odžibwa (oj)
oksitaani (oc)
orija (or)
oromo (om)
osage (osa)
osmani (ota)
osseetti (os)
otomi-kieli (oto)
paali (pi)
pahlavi (pal)
palau (pau)
pampanga (pam)
pandžabi (pa)
pangasinan (pag)
papiamentu (pap)
papualaiskieli (paa)
paštu (ps)
perinteinen kiina (zh_Hant)
pohjois-ndebele (nd)
pohjoisamerikkalainen intiaanikieli (nai)
pohjoisfriisi (frr)
pohjoissaame (se)
pohjoissotho (nso)
pohnpei (pon)
portugali (pt)
portugaliin perustuva kreoli- tai pidgin-kieli (cpp)
portugalinportugali (pt_PT)
prakrit-kieli (pra)
puola (pl)
radžastani (raj)
ranska (fr)
ranskaan perustuva kreoli- tai pidgin-kieli (cpf)
rapanui (rap)
rarotonga (rar)
retoromaani (rm)
romaaninen kieli (roa)
romani (rom)
romania (ro)
ruanda (rw)
rundi (rn)
ruotsi (sv)
saamelaiskieli (smi)
saksa (de)
sališilainen kieli (sal)
samarianaramea (sam)
samoa (sm)
sandawe (sad)
sango (sg)
sanskrit (sa)
santali (sat)
sapoteekki (zap)
sardi (sc)
sasak (sas)
seemiläinen kieli (sem)
selkuppi (sel)
serbia (sr)
serbokroaatti (sh)
serer (srr)
shan (shn)
sichuanin-yi (ii)
sidamo (sid)
sindhi (sd)
sinhali (si)
sinotiibetiläinen kieli (sit)
sioux-kieli (sio)
sisilia (scn)
skotti (sco)
slaavilainen kieli (sla)
slevi (den)
slovakki (sk)
sloveeni (sl)
sogdi (sog)
somali (so)
songhai (son)
soninke (snk)
sorbin kieli (wen)
sranan (srn)
sukuma (suk)
sumeri (sux)
sunda (su)
suomalais-ugrilainen kieli (fiu)
suomi (fi)
susu (sus)
sveitsinranska (fr_CH)
sveitsinsaksa (gsw)
sveitsinyläsaksa (de_CH)
swahili (sw)
swazi (ss)
syyria (syr)
tadžikki (tg)
tagalog (tl)
tahiti (ty)
tamašek (tmh)
tamil (ta)
tanska (da)
tataari (tt)
telugu (te)
temne (tem)
tereno (ter)
tetum (tet)
thai (th)
thaikieli (tai)
tigre (tig)
tigrinja (ti)
tiibet (bo)
tiv (tiv)
tlingit (tli)
tok-pisin (tpi)
tokelau (tkl)
tongantonga (to)
tsimši (tsi)
tsonga (ts)
tswana (tn)
tumbuka (tum)
tupi-kieli (tup)
turkki (tr)
turkmeeni (tk)
tuva (tyv)
tuvalu (tvl)
twi (tw)
tyap (kcg)
tšagatai (chg)
tšam-kieli (cmc)
tšamorro (ch)
tšekki (cs)
tšetšeeni (ce)
tšibtša (chb)
tšuvassi (cv)
udmurtti (udm)
ugarit (uga)
uiguuri (ug)
ukraina (uk)
umbundu (umb)
unkari (hu)
urdu (ur)
uzbekki (uz)
vai (vai)
valkovenäjä (be)
valloni (wa)
vatja (vot)
venda (ve)
venäjä (ru)
vietnam (vi)
viittomakieli (sgn)
viro (et)
volapük (vo)
wakash-kieli (wak)
walamo (wal)
waray (war)
washo (was)
wolof (wo)
xhosa (xh)
yksinkertaistettu kiina (zh_Hans)
yläsorbi (hsb)
zande (znd)
zaza (zza)
zenaga (zen)
zhuang (za)
zulu (zu)
zuni (zun)
šona (sn)
