その他の混成語・混合語 (crp)
カザフ語 (kk)
カシミール語 (ks)
カシューブ語 (csb)
カシ語 (kha)
カジェ語 (kaj)
カタブ語 (kcg)
カタロニア語 (ca)
カチン語 (kac)
カドー語 (cad)
カナダ英語 (en_CA)
カヌリ語 (kr)
カバルド語 (kbd)
カビル語 (kab)
カラチャイ語 (krc)
カラ・カルパク語 (kaa)
カリブ語 (car)
カルムイク語 (xal)
カレリア語 (krl)
カレン語 (kar)
カンナダ語 (kn)
カンバ語 (kam)
ガヨ語 (gay)
ガリシア語 (gl)
ガンダ語 (lg)
ガ語 (gaa)
キクユ語 (ki)
キリバス語 (gil)
キルギス語 (ky)
キンブンドゥ語 (kmb)
ギリシャ語 (el)
クアニャマ語 (kj)
クシュ諸語 (cus)
クテナイ語 (kut)
クペレ語 (kpe)
クムク語 (kum)
クメール語 (km)
クリミア・タタール語 (crh)
クリンゴン語 (tlh)
クリーク語 (mus)
クリー語 (cr)
クルク語 (kru)
クルド語 (ku)
クルー語 (kro)
クロアチア語 (hr)
グアラニー語 (gn)
グウィッチン語 (gwi)
グジャラート語 (gu)
グリーンランド語 (kl)
グルジア語 (ka)
グレボ語 (grb)
ケチュア語 (qu)
ケルト諸語 (cel)
ゲエズ語 (gez)
ゲルマン諸語 (gem)
コイサン諸語 (khi)
コサ語 (xh)
コシャエ語 (kos)
コプト語 (cop)
コミ語 (kv)
コルシカ語 (co)
コロ語 (kfo)
コンカニ語 (kok)
コンゴ語 (kg)
コーカサス諸語 (cau)
コータン語 (kho)
コーンウォール語 (kw)
ゴロンタロ語 (gor)
ゴート語 (got)
ゴーンディー語 (gon)
ササク語 (sas)
サマリア・アラム語 (sam)
サモア語 (sm)
サルデーニャ語 (sc)
サンゴ語 (sg)
サンスクリット語 (sa)
サンターリー語 (sat)
サンダウェ語 (sad)
サーミ諸語 (smi)
ザポテック語 (zap)
ザンデ語 (znd)
シクシカ語 (bla)
シスワティ語 (ss)
シダモ語 (sid)
シチリア語 (scn)
シナ・チベット諸語 (sit)
シャイアン語 (chy)
シャン語 (shn)
シュメール語 (sux)
ショナ語 (sn)
シリア語 (syr)
シンド語 (sd)
シンハラ語 (si)
ジャワ語 (jv)
スイスドイツ語（スイス） (gsw)
スウェーデン語 (sv)
スクマ語 (suk)
スコットランド・ゲール語 (gd)
スコットランド語 (sco)
スコルト・サーミ語 (sms)
スス語 (sus)
スペイン語 (es)
スペイン語（イベリア半島） (es_ES)
スペイン語（ラテンアメリカ） (es_419)
スラブ諸語 (sla)
スリナム語 (srn)
スレイビー語 (den)
スロバキア語 (sk)
スロベニア語 (sl)
スワヒリ語 (sw)
スンダ語 (su)
スー語族 (sio)
ズニ語 (zun)
ズールー語 (zu)
セイリッシュ語族 (sal)
セブアノ語 (ceb)
セム・ハム諸語 (afa)
セム諸語 (sem)
セリクプ語 (sel)
セルビア語 (sr)
セルボ＝クロアチア語 (sh)
セレル語 (srr)
ゼナガ語 (zen)
ソグド語 (sog)
ソニンケ語 (snk)
ソマリ語 (so)
ソルビア語族 (wen)
ソンガイ語 (son)
ゾンカ語 (dz)
タイ語 (th)
タイ諸語 (tai)
タガログ語 (tl)
タジク語 (tg)
タタール語 (tt)
タヒチ語 (ty)
タマシェク語 (tmh)
タミール語 (ta)
ダコタ語 (dak)
ダヤク語 (day)
ダルガン語 (dar)
チェコ語 (cs)
チェチェン語 (ce)
チェロキー語 (chr)
チブチャ語 (chb)
チベット語 (bo)
チペワイアン語 (chp)
チムシュ語 (tsi)
チャガタイ語 (chg)
チャム語族 (cmc)
チャモロ語 (ch)
チャワイ語 (cch)
チュヴァシュ語 (cv)
チューク語 (chk)
チョクトー語 (cho)
チワン語 (za)
ツォンガ語 (ts)
ツバル語 (tvl)
ツワナ語 (tn)
ティグリニア語 (ti)
ティグレ語 (tig)
ティブ語 (tiv)
テトゥン語 (tet)
テムネ語 (tem)
テルグ語 (te)
テレーノ語 (ter)
ディベヒ語 (dv)
ディンカ語 (din)
デゥウラ語 (dyu)
デラウェア語 (del)
デンマーク語 (da)
トゥピ語族 (tup)
トゥンブカ語 (tum)
トゥヴァ語 (tyv)
トウィ語 (tw)
トク・ピシン語 (tpi)
トケラウ語 (tkl)
トリンギット語 (tli)
トルクメン語 (tk)
トルコ語 (tr)
トンガ語 (to)
トンガ語 (ニアサ) (tog)
ドイツ語 (de)
ドイツ語（オーストリア） (de_AT)
ドゥアラ語 (dua)
ドグリブ語 (dgr)
ドグリ語 (doi)
ドラヴィダ諸語 (dra)
ナイル・サハラ諸語 (ssa)
ナウル語 (na)
ナバホ語 (nv)
ナポリ語 (nap)
ナワトル語 (nah)
ニアス語 (nia)
ニウーエイ語 (niu)
ニジェール・コルドファン諸語 (nic)
ニャムウェジ語 (nym)
ニャンコレ語 (nyn)
ニャンジャ語、チチェワ語、チェワ語 (ny)
ニョロ語 (nyo)
ヌビア語族 (nub)
ネパール語 (ne)
ネワール語 (new)
ノガイ語 (nog)
ノルウェー語 (no)
ノルウェー語 (ニーノシュク) (nn)
ノルウェー語 (ブークモール) (nb)
ハイダ語 (hai)
ハイチ語 (ht)
ハウサ語 (ha)
ハワイ語 (haw)
ハンガリー語 (hu)
バサ語 (bas)
バシキール語 (ba)
バスク語 (eu)
バタク語 (btk)
バミレケ語族 (bai)
バヤ語 (gba)
バリ語 (ban)
バルト諸語 (bat)
バルーチー語 (bal)
バンダ語 (bad)
バントゥ諸語 (bnt)
バンバラ語 (bm)
パシュトゥー語 (ps)
パピアメント語 (pap)
パフラヴィ語 (pal)
パプア諸語 (paa)
パラオ語 (pau)
パンガシナン語 (pag)
パンジャブ語 (pa)
パンパンガ語 (pam)
パーリ語 (pi)
ヒッタイト語 (hit)
ヒマチャル語 (him)
ヒリガイノン語 (hil)
ヒリモトゥ語 (ho)
ヒンディー語 (hi)
ビコル語 (bik)
ビスラマ語 (bi)
ビニ語 (bin)
ビハール語 (bh)
ビリン語 (byn)
ビルマ語 (my)
ビーチ・ラ・マー 等 (chn)
ファング語 (fan)
ファンティー語 (fat)
フィジー語 (fj)
フィリピノ語 (fil)
フィリピン諸語 (phi)
フィンランド語 (fi)
フィン・ウゴル諸語 (fiu)
フェニキア語 (phn)
フェロー語 (fo)
フォン語 (fon)
フモン語 (hmn)
フラニ語 (ff)
フランス語 (fr)
フランス語が基盤の混成語・混合語 (cpf)
フランス語（カナダ） (fr_CA)
フランス語（スイス） (fr_CH)
フリウリ語 (fur)
フリジア語 (fy)
フレミッシュ語 (nl_BE)
ブギ語 (bug)
ブラジ語 (bra)
ブリヤート語 (bua)
ブルガリア語 (bg)
ブルトン語 (br)
プラークリット語族 (pra)
ヘブライ語 (he)
ヘレロ語 (hz)
ベジャ語 (bej)
ベトナム語 (vi)
ベラルーシ語 (be)
ベルベル諸語 (ber)
ベンガル語 (bn)
ベンダ語 (ve)
ベンバ語 (bem)
ペルシア語 (fa)
ボスニア語 (bs)
ボラピュク語 (vo)
ボージプリー語 (bho)
ボート語 (vot)
ポルトガル語 (pt)
ポルトガル語 (ブラジル) (pt_BR)
ポルトガル語が基盤の混成語・混合語 (cpp)
ポルトガル語（イベリア半島） (pt_PT)
ポンペイ語 (pon)
ポーランド語 (pl)
マイティリー語 (mai)
マオリ語 (mi)
マカッサル語 (mak)
マガヒー語 (mag)
マケドニア語 (mk)
マサイ語 (mas)
マダガスカル語 (mg)
マドゥラ語 (mad)
マニプル語 (mni)
マノボ語族 (mno)
マヤ語族 (myn)
マラヤーラム語 (ml)
マラーティー語 (mr)
マリ語 (chm)
マルタ語 (mt)
マレー語 (ms)
マンダル語 (mdr)
マンディンゴ語 (man)
マン島語 (gv)
マーシャル語 (mh)
マールワーリー語 (mwr)
ミクマク語 (mic)
ミナンカバウ語 (min)
ミランダ語 (mwl)
ムンダ語族 (mun)
メンデ語 (men)
モクシャ語 (mdf)
モシ語 (mos)
モルダビア語 (mo)
モンゴル語 (mn)
モンゴ語 (lol)
モン・クメール諸語 (mkh)
モーホーク語 (moh)
ヤオ語 (yao)
ヤクート語 (sah)
ヤップ語 (yap)
ユダヤ・アラビア語 (jrb)
ユダヤ・ペルシア語 (jpr)
ユピック語族 (ypk)
ヨルバ語 (yo)
ラオ語 (lo)
ラジノ語 (lad)
ラテン語 (la)
ラトビア語 (lv)
ラパヌイ語 (rap)
ラフンダー語 (lah)
ラロトガ語 (rar)
ランバ語 (lam)
ラージャスターン語 (raj)
リトアニア語 (lt)
リンガラ語 (ln)
リンブルフ語 (li)
ルイセーニョ語 (lui)
ルオ語 (luo)
ルクセンブルク語 (lb)
ルシャイ語 (lus)
ルバ・カタンガ語 (lu)
ルバ・ルルア語 (lua)
ルレ・サーミ語 (smj)
ルワンダ語 (rw)
ルンダ語 (lun)
ルンディ語 (rn)
ルート (root)
ルーマニア語 (ro)
レズギ語 (lez)
レト・ロマン語 (rm)
ロシア語 (ru)
ロジバン語 (jbo)
ロズィ語 (loz)
ロマンス諸語 (roa)
ロマーニー語 (rom)
ワカシ語族 (wak)
ワショ語 (was)
ワッラモ語 (wal)
ワライ語 (war)
ワロン語 (wa)
ンコ語 (nqo)
ンゼマ語 (nzi)
ンドンガ語 (ng)
ヴァイ語 (vai)
上ソルビア語 (hsb)
中世オランダ語 (dum)
中世英語 (enm)
中国語 (zh)
中期アイルランド語 (mga)
中期フランス語 (frm)
中米インディアン諸語 (cai)
中高ドイツ語 (gmh)
人工諸語 (art)
低ソルビア語 (dsb)
低地ドイツ語、低地サクソン語 (nds)
北サーミ語 (se)
北ンデベレ語 (nd)
北米インディアン諸語 (nai)
北部ソト語 (nso)
南アルタイ語 (alt)
南サーミ語 (sma)
南ンデベレ語 (nr)
南米インディアン諸語 (sai)
南部ソト語 (st)
印欧諸語 (ine)
古ノルド語 (non)
古フランス語 (fro)
古代エジプト語 (egy)
古代ギリシャ語 (grc)
古代ペルシア語 (peo)
古代英語 (ang)
古典ネワール語 (nwc)
古期アイルランド語 (sga)
古期プロバンス語 (pro)
古高ドイツ語 (goh)
四川イ語 (ii)
手まね言語 (sgn)
教会スラブ語 (cu)
日本語 (ja)
東フリジア語 (frs)
正統ドイツ語（スイス） (de_CH)
満州語 (mnc)
簡体中国語 (zh_Hans)
繁体中国語 (zh_Hant)
英語 (en)
英語が基盤の混成語・混合語 (cpe)
複数言語 (mul)
非確定 (und)
韓国語 (ko)
