abhaasi (ab)
indoeurooppalainen kieli (ine)
indonesia (id)
inguuši (inh)
interlingua (ia)
interlingue (ie)
inuktitut (iu)
inupiaq (ik)
iranilainen kieli (ira)
irokeesikieli (iro)
islanti (is)
italia (it)
itäfriisi (frs)
itävallansaksa (de_AT)
jaava (jv)
jakuutti (sah)
jao (yao)
japani (ja)
japi (yap)
jiddiš (yi)
jju (kaj)
joruba (yo)
jupikkikieli (ypk)
juuri (root)
juutalaisarabia (jrb)
juutalaispersia (jpr)
kabardi (kbd)
kabyyli (kab)
kalaallisut (kl)
kalmukki (xal)
kamba (kam)
kanadanenglanti (en_CA)
kanadanranska (fr_CA)
kannada (kn)
kantoninkiina (yue)
kanuri (kr)
kapverdenkreoli (kea)
karakalpakki (kaa)
karatšai-balkaari (krc)
karen (kar)
karibi (car)
karjala (krl)
kašmiri (ks)
kašubi (csb)
katalaani (ca)
katanganluba (lu)
katšin (kac)
kaukasialainen kieli (cau)
kavi (kaw)
kazakki (kk)
keinotekoinen kieli (art)
kelttiläinen kieli (cel)
keski-iiri (mga)
keskiamerikkalainen intiaanikieli (cai)
keskienglanti (enm)
keskihollanti (dum)
keskikhmer (km)
keskiranska (frm)
keskiyläsaksa (gmh)
ketšua (qu)
khasi (kha)
khoisankieli (khi)
khotani (kho)
kiina (zh)
kikuju (ki)
kimbundu (kmb)
kirgiisi (ky)
kiribati (gil)
kirkkoslaavi (cu)
klassinen newari (nwc)
klingon (tlh)
koltansaame (sms)
komi (kv)
komori (swb)
kongo (kg)
konkani (kok)
kopti (cop)
korea (ko)
korni (kw)
korsika (co)
kosrae (kos)
kpelle (kpe)
kreikka (el)
kreoli- tai pidgin-kieli (crp)
krimintataari (crh)
kroatia (hr)
kru-kieli (kro)
kuanjama (kj)
kumykki (kum)
kurdi (ku)
kurukh (kru)
kutenai (kut)
kuušilainen kieli (cus)
kymri (cy)
ladino (lad)
lahnda (lah)
lamba (lam)
land-dajakki-kieli (day)
lao (lo)
latina (la)
latvia (lv)
lezgi (lez)
liettua (lt)
limburg (li)
lingala (ln)
lojban (jbo)
lozi (loz)
luhya (luy)
luiseño (lui)
luluanluba (lua)
lunda (lun)
luo (luo)
luokittelematon kieli (mis)
lusai (lus)
luulajansaame (smj)
luxemburg (lb)
länsifriisi (fy)
maasai (mas)
madura (mad)
magahi (mag)
maithili (mai)
makassar (mak)
makedonia (mk)
malagassi (mg)
malaiji (ms)
malajalam (ml)
malawintonga (tog)
malta (mt)
mandar (mdr)
mandingo (man)
manipuri (mni)
manksi (gv)
manobokieli (mno)
mantšu (mnc)
maori (mi)
mapudungun (arn)
marathi (mr)
mari (chm)
marshall (mh)
marwari (mwr)
mayakieli (myn)
mbundu (umb)
mende (men)
micmac (mic)
minangkabau (min)
mirandeesi (mwl)
mohawk (moh)
mokša (mdf)
moldova (mo)
mon-khmer-kieli (mkh)
mongo (lol)
mongoli (mn)
mossi (mos)
muinaisegypti (egy)
muinaisenglanti (ang)
muinaisiiri (sga)
muinaiskreikka (grc)
muinaisnorja (non)
muinaispersia (peo)
muinaisprovensaali (pro)
muinaisranska (fro)
muinaissyyria (syc)
muinaisyläsaksa (goh)
mundakieli (mun)
määrittämätön kieli (und)
n’ko (nqo)
nahuatlkieli (nah)
napoli (nap)
nauru (na)
navajo (nv)
ndonga (ng)
nepali (ne)
newari (new)
nias (nia)
nigeriläis-kongolainen kieli (nic)
niililäis-saharalainen kieli (ssa)
niue (niu)
njandža (ny)
nogai (nog)
norja (no)
norjan bokmål (nb)
norjan nynorsk (nn)
norsunluurannikonkoro (kfo)
nubialainen kieli (nub)
nyamwezi (nym)
nyankole (nyn)
nyoro (nyo)
nzima (nzi)
odžibwa (oj)
oksitaani (oc)
orija (or)
oromo (om)
osage (osa)
osmani (ota)
osseetti (os)
otomikieli (oto)
paali (pi)
pahlavi (pal)
palau (pau)
pampanga (pam)
pandžabi (pa)
pangasinan (pag)
papiamentu (pap)
papualaiskieli (paa)
paštu (ps)
perinteinen kiina (zh_Hant)
pohjois-ndebele (nd)
pohjoisamerikkalainen intiaanikieli (nai)
pohjoisfriisi (frr)
pohjoissaame (se)
pohjoissotho (nso)
pohnpei (pon)
portugali (pt)
portugaliin perustuva kreoli- tai pidgin-kieli (cpp)
portugalinportugali (pt_PT)
prakritkieli (pra)
puola (pl)
radžastani (raj)
ranska (fr)
ranskaan perustuva kreoli- tai pidgin-kieli (cpf)
rapanui (rap)
rarotonga (rar)
retoromaani (rm)
romaaninen kieli (roa)
romani (rom)
romania (ro)
rombo (rof)
ruanda (rw)
rundi (rn)
ruotsi (sv)
rwa (rwk)
saamelaiskieli (smi)
saksa (de)
sališilainen kieli (sal)
samarianaramea (sam)
samoa (sm)
sandawe (sad)
sango (sg)
sanskrit (sa)
santali (sat)
sardi (sc)
sasak (sas)
seemiläinen kieli (sem)
selkuppi (sel)
serbia (sr)
serbokroaatti (sh)
serer (srr)
shan (shn)
sichuanin-yi (ii)
sidamo (sid)
siksika (bla)
sindhi (sd)
sinhala (si)
sinotiibetiläinen kieli (sit)
siouxkieli (sio)
sisilia (scn)
skotti (sco)
slaavilainen kieli (sla)
slevi (den)
slovakki (sk)
sloveeni (sl)
sogdi (sog)
somali (so)
šona (sn)
songhaikieli (son)
soninke (snk)
sorbikieli (wen)
sranan (srn)
sukuma (suk)
sumeri (sux)
sunda (su)
suomalais-ugrilainen kieli (fiu)
suomi (fi)
susu (sus)
sveitsinranska (fr_CH)
sveitsinsaksa (gsw)
sveitsinyläsaksa (de_CH)
swahili (sw)
swazi (ss)
syyria (syr)
tadžikki (tg)
tagalog (tl)
tahiti (ty)
tamašek (tmh)
tamili (ta)
tanska (da)
tataari (tt)
telugu (te)
temne (tem)
tereno (ter)
tetum (tet)
thai (th)
thaikieli (tai)
tigre (tig)
tigrinja (ti)
tiibet (bo)
tiv (tiv)
tlingit (tli)
tok-pisin (tpi)
tokelau (tkl)
tongantonga (to)
tšagatai (chg)
tšamkieli (cmc)
tšamorro (ch)
tšekki (cs)
tšetšeeni (ce)
tšibtša (chb)
tsimši (tsi)
tsonga (ts)
tšuvassi (cv)
tswana (tn)
tumbuka (tum)
tupikieli (tup)
turkki (tr)
turkmeeni (tk)
tuva (tyv)
tuvalu (tvl)
twi (tw)
tyap (kcg)
udmurtti (udm)
ugarit (uga)
uiguuri (ug)
ukraina (uk)
unkari (hu)
urdu (ur)
uzbekki (uz)
vai (vai)
valkovenäjä (be)
valloni (wa)
valtakunnanaramea (arc)
vatja (vot)
venda (ve)
venäjä (ru)
vietnam (vi)
viittomakieli (sgn)
viro (et)
volapük (vo)
wakashkieli (wak)
walser (wae)
waray (war)
washo (was)
wolaitta (wal)
wolof (wo)
xhosa (xh)
yksinkertaistettu kiina (zh_Hans)
yläsorbi (hsb)
zandekieli (znd)
zapoteekki (zap)
zaza (zza)
zenaga (zen)
zhuang (za)
zulu (zu)
zuni (zun)
