Bislama (bi)
rarotonga (rar)
retoromański (rm)
romański (roa)
rosyjski (ru)
rumuński (ro)
rundi (rn)
salisz (sal)
samarytański aramejski (sam)
samoański (sm)
sandawe (sad)
sango (sg)
sanskryt (sa)
santali (sat)
sardyński (sc)
sasak (sas)
selkupski (sel)
semicki (sem)
serbski (sr)
serbsko-chorwacki (sh)
serer (srr)
setswana (tn)
shan (shn)
sidamo (sid)
siksika (bla)
sindhi (sd)
siouański (sio)
siswati (ss)
slave (den)
sogdyjski (sog)
somalijski (so)
songhaj (son)
soninke (snk)
sotho południowy (st)
sotho północny (nso)
sranan tongo (srn)
staro-cerkiewno-słowiański (cu)
staro-wysoko-niemiecki (goh)
staroangielski (ang)
starofrancuski (fro)
starogrecki (grc)
staroirlandzki (sga)
staronordyjski (non)
staroperski (peo)
staroprowansalski (pro)
starożytny egipski (egy)
suahili (sw)
sukuma (suk)
sumeryjski (sux)
sundajski (su)
susu (sus)
sycylijski (scn)
syczuański (ii)
syngaleski (si)
syriacki (syc)
syryjski (syr)
szkocki (sco)
szkocki gaelicki (gd)
szona (sn)
sztuczny (art)
szwajcarski niemiecki (gsw)
szwedzki (sv)
słowacki (sk)
słoweński (sl)
słowiański (sla)
tadżycki (tg)
tagalski (tl)
tahitański (ty)
tai (tai)
tajski (th)
tamaszek (tmh)
tamilski (ta)
tatarski (tt)
telugu (te)
temne (tem)
tereno (ter)
tetum (tet)
tigre (tig)
tigrinia (ti)
tiw (tiv)
tlingit (tli)
tok pisin (tpi)
tokelau (tkl)
tonga (to)
tonga (Niasa) (tog)
truk (chk)
tsimshian (tsi)
tsonga (ts)
tumbuka (tum)
tupi (tup)
turecki (tr)
turkmeński (tk)
tuvalu (tvl)
tuwiński (tyv)
twi (tw)
tyap (kcg)
tybetański (bo)
udmurcki (udm)
ugarycki (uga)
ugrofiński (fiu)
ujgurski (ug)
ukraiński (uk)
umbundu (umb)
urdu (ur)
uzbecki (uz)
venda (ve)
volapuk (vo)
wai (vai)
wakasz (wak)
walamo (wal)
walijski (cy)
waloński (wa)
waraj (war)
washo (was)
wiele języków (mul)
wietnamski (vi)
wolof (wo)
wotiacki (vot)
wysokoniemiecki (Szwajcaria) (de_CH)
węgierski (hu)
włoski (it)
yao (yao)
zapotecki (zap)
zazaki (zza)
zenaga (zen)
zulu (zu)
zuni (zun)
łaciński (la)
łotewski (lv)
łużycki (wen)
średnio-wysoko-niemiecki (gmh)
średnioangielski (enm)
średniofrancuski (frm)
średnioirlandzki (mga)
średniowieczny niderlandzki (dum)
żargon Chinook (chn)
