丁卡文 (din)
雅庫特文 (sah)
雅浦文 (yap)
塔加路族文 (tl)
塔吉克文 (tg)
塔馬奇克文 (tmh)
塞內加爾文 (sn)
塞索托文 (st)
塞雷爾文 (srr)
塞爾維亞文 (sr)
塞爾維亞克羅埃西亞文 (sh)
奧托米諸語言 (oto)
奧克西坦文 (oc)
奧杰布瓦文 (oj)
奧塞提文 (os)
意第緒文 (yi)
愛努文 (ain)
愛沙尼亞文 (et)
愛爾蘭文 (ga)
新挪威文 (nn)
楚瓦什文 (cv)
源自法文的克里奧爾文和皮欽文 (cpf)
源自英文的克里奧爾文和皮欽文 (cpe)
源自葡萄牙文的克里奧爾文和皮欽文 (cpp)
溫達文 (ve)
瑞士法语 (fr_CH)
瑞士高地德文 (de_CH)
瑞典文 (sv)
瑟爾卡普文 (sel)
粵語 (yue)
義大利文 (it)
葛巴亞文 (gba)
葛摩文 (swb)
葡萄牙文 (pt)
葡萄牙语（巴西） (pt_BR)
蒂格雷文 (tig)
路易塞諾文 (lui)
達科他文 (dak)
達爾格瓦文 (dar)
僧伽羅文 (si)
圖皮諸語言 (tup)
圖姆布卡文 (tum)
滿族文 (mnc)
漢藏諸語言 (sit)
瑤文 (yao)
維吾爾文 (ug)
蒙古文 (mn)
蒙達諸語言 (mun)
蓋丘亞文 (qu)
豪撒文 (ha)
赫馬查利文 (him)
赫梯文 (hit)
赫雷羅文 (hz)
寮國文 (lo)
廣亞馬文 (kj)
德文 (de)
德文（瑞士） (gsw)
德拉瓦文 (del)
德拉威諸語言 (dra)
摩爾多瓦文 (mo)
撒丁文 (sc)
撒撒克文 (sas)
撣文 (shn)
歐里亞文 (or)
歐塞奇文 (osa)
潘加辛文 (pag)
潘帕嘉文 (pam)
緬甸文 (my)
魯巴加丹加文 (lu)
魯巴魯魯亞文 (lua)
魯勒薩米文 (smj)
澤納加文 (zen)
澳洲諸語言 (aus)
盧安達文 (rw)
盧恩達文 (lun)
盧晒文 (lus)
盧森堡文 (lb)
盧雅文 (luy)
盧奧文 (luo)
諾蓋文 (nog)
諾魯文 (na)
錫克錫卡文 (bla)
繁體中文 (zh_Hant)
邁蒂利文 (mai)
韓文 (ko)
簡體中文 (zh_Hans)
薩米諸語言 (smi)
薩利什諸語言 (sal)
薩波特克文 (zap)
薩瑪利亞阿拉姆文 (sam)
薩摩亞文 (sm)
藏文 (bo)
豐文 (fon)
羅瓦文 (rwk)
羅馬尼亞文 (ro)
羅馬尼亞語系 (rup)
羅曼諸語言 (roa)
贊德文 (znd)
蘇拉南東墎文 (srn)
蘇美文 (sux)
蘇庫馬文 (suk)
蘇格蘭 - 蓋爾文 (gd)
蘇格蘭文 (sco)
蘇語諸語言 (sio)
蘇蘇文 (sus)
蘭巴文 (lam)
蘭博文 (rof)
韃靼文 (tt)
邏輯文 (jbo)
