abkazijski (ab)
minangkabau (min)
mirandeški (mwl)
mokša (mdf)
moldavski (mo)
mon-kmerski jezik (mkh)
mongo (lol)
mongolski (mn)
mosi (mos)
munda jezik (mun)
n’ko (nqo)
nahuatl (nah)
nauru (na)
navaho (nv)
ndonga (ng)
neapolitanski (nap)
nepalski (ne)
nepoznati ili nevažeći jezik (und)
nevari (new)
nias (nia)
niger-kordofanijski jezik (nic)
nilo-saharski jezik (ssa)
niski nemački (nds)
niski sorbijanski (dsb)
niuean (niu)
nogai (nog)
norveški (no)
norveški bokmål (nb)
norveški njorsk (nn)
nubijski jezik (nub)
nzima (nzi)
njamvezi (nym)
njankole (nyn)
njanja (ny)
njasa tonga (tog)
njemački (de)
njoro (nyo)
ojibva (oj)
orijski (or)
oromo (om)
osage (osa)
osetski (os)
otomanski jezik (oto)
otomanski turski (ota)
pahlavi (pal)
palauanski (pau)
pali (pi)
pampanga (pam)
pandžabski (pa)
pangasinski (pag)
papiamento (pap)
papuanski jezik (paa)
paštunski (ps)
persijski (fa)
poljski (pl)
ponpejski (pon)
portugalski (pt)
prakritski jezik (pra)
provansalski (oc)
rađastani (raj)
rapanui (rap)
rarotongan (rar)
razni jezici (mis)
reto-romanski (rm)
romani (rom)
romanski jezik (roa)
rumunski (ro)
run (root)
rundi (rn)
ruski (ru)
sališanski jezik (sal)
samaritanski aramejski (sam)
sami jezik (smi)
samoanski (sm)
sandave (sad)
sango (sg)
sanskrit (sa)
santali (sat)
sardinijski (sc)
sasak (sas)
selkap (sel)
semitski jezik (sem)
serer (srr)
sesoto (st)
severni ndebele (nd)
severni sami (se)
severni soto (nso)
severno-frizijski (frr)
sicilijanski (scn)
sičuan ji (ii)
sidamo (sid)
siksika (bla)
sindi (sd)
singaleski (si)
sino-tibetanski jezik (sit)
sirijski (syr)
siuanski jezik (sio)
skoltski jezik (sms)
slavski (den)
slovački (sk)
slovenački (sl)
slovenski jezik (sla)
sodžijenski (sog)
somalski (so)
songai (son)
soninke (snk)
sorbijanski jezik (wen)
srananski tongo (srn)
srednji engleski (enm)
srednji francuski (frm)
srednji holandski (dum)
srednji irski (mga)
srednji visoki nemački (gmh)
srpski (sr)
srpskohrvatski (sh)
stari norski (non)
staroegipatski (egy)
staroengleski (ang)
starofrancuski (fro)
starogrčki (grc)
staroirski (sga)
staronemački (goh)
staropersijski (peo)
staroprovansalski (pro)
staroslovenski (cu)
sudanski (su)
sukuma (suk)
sumerski (sux)
susu (sus)
svahili (sw)
svati (ss)
šan (shn)
škotski (sco)
škotski galski (gd)
šona (sn)
španjolski (es)
švajcarsko nemački (gsw)
švedski (sv)
tađik (tg)
tagalski (tl)
tahićanski (ty)
tai jezik (tai)
tajlandski (th)
talijanski (it)
tamašek (tmh)
tamilski (ta)
tatarski (tt)
telugu (te)
tereno (ter)
tetum (tet)
tibetanski (bo)
tigre (tig)
tigrinja (ti)
timne (tem)
tiv (tiv)
tjap (kcg)
tlingit (tli)
tok pisin (tpi)
tokelau (tkl)
tonga (to)
tsimšian (tsi)
tsonga (ts)
tsvana (tn)
tumbuka (tum)
tupi jezik (tup)
turkmenski (tk)
turski (tr)
tuvalu (tvl)
tuvinijski (tyv)
tvi (tw)
udmurt (udm)
ugaritski (uga)
ugro-finski jezik (fiu)
ujgurski (ug)
ukrajinski (uk)
umbundu (umb)
urdu (ur)
uzbečki (uz)
vai (vai)
vakašanski jezik (wak)
valamo (wal)
valun (wa)
varej (war)
vašo (was)
velški (cy)
venda (ve)
veštački (art)
vijetnamski (vi)
volapük (vo)
volof (wo)
votski (vot)
zande (znd)
zapotečki (zap)
zaza (zza)
zenaga (zen)
zuang (za)
zulu (zu)
zuni (zun)
žju (kaj)
