kaj (kaj)
土凡文 (tyv)
土庫曼文 (tk)
土耳其文 (tr)
圭契文 (gwi)
坎那達文 (kn)
坦米爾文 (ta)
埃維文 (ee)
埃菲克文 (efi)
埃蘭文 (elx)
塔加路族文 (tl)
塔吉克文 (tg)
塔馬奇克文 (tmh)
塞內加爾文 (sn)
塞爾維亞克羅埃西亞文 (sh)
塞爾維亞文 (sr)
塞索托文 (st)
塞雷爾文 (srr)
壯文 (za)
夏威夷文 (haw)
多格來文 (doi)
多格里布文 (dgr)
多種語言 (mul)
大溪地文 (ty)
奇佩瓦揚文 (chp)
奇布查文 (chb)
契奴克文 (chn)
奧克西坦文 (oc)
奧塞提文 (os)
奧托米諸語言 (oto)
奧杰布瓦文 (oj)
姆本杜文 (umb)
威爾斯文 (cy)
孟加拉文 (bn)
孟文 (hmn)
孟高棉諸語言 (mkh)
宗教斯拉夫文 (cu)
宿霧文 (ceb)
富拉文 (ff)
寮國文 (lo)
尤皮克諸語言 (ypk)
尼亞斯文 (nia)
尼奧囉文 (nyo)
尼揚科萊文 (nyn)
尼揚賈文 (ny)
尼揚韋齊文 (nym)
尼日爾科爾多凡諸語言 (nic)
尼泊爾文 (ne)
尼瓦爾文 (new)
尼羅撒哈拉諸語言 (ssa)
尼茲馬文 (nzi)
岡德文 (gon)
峇里文 (ban)
巴什客爾文 (ba)
巴列維文 (pal)
巴利文 (pi)
巴塔克文 (btk)
巴布亞諸語言 (paa)
巴斯克文 (eu)
巴米累克諸語言 (bai)
巴薩文 (bas)
巽他語 (su)
布列斯符號 (zbl)
布吉斯文 (bug)
布拉杰文 (bra)
布里多尼文 (br)
布里阿特文 (bua)
希伯來文 (he)
希利蓋農文 (hil)
希臘文 (el)
希達摩文 (sid)
帕皮阿門托文 (pap)
帛琉文 (pau)
干達文 (lg)
庫密克文 (kum)
庫施特諸語言 (cus)
庫爾德文 (ku)
庫特奈文 (kut)
庫魯科文 (kru)
康瓦耳文 (kw)
廣亞馬文 (kj)
弗留利文 (fur)
復活島文 (rap)
德拉威諸語言 (dra)
德拉瓦文 (del)
德文 (de)
德文 (奧地利) (de_AT)
恩東加文 (ng)
意大利文 (it)
意第緒文 (yi)
愛努文 (ain)
愛沙尼亞文 (et)
愛爾蘭文 (ga)
手語 (sgn)
扎扎文 (zza)
托克勞文 (tkl)
托比辛文 (tpi)
拉丁文 (la)
拉亨達文 (lah)
拉羅通加文 (rar)
拉脫維亞文 (lv)
拉賈斯坦諸文 (raj)
拉迪諾文 (lad)
拿波里文 (nap)
挪威文 (no)
挪威波克默爾文 (nb)
捷克文 (cs)
提夫文 (tiv)
提姆文 (tem)
提格利尼亞文 (ti)
摩爾多瓦文 (mo)
撒丁文 (sc)
撒撒克文 (sas)
撣文 (shn)
敘利亞文 (syr)
散塔利文 (sat)
斐濟文 (fj)
斯拉夫 (den)
斯拉夫諸語言 (sla)
斯洛伐克文 (sk)
斯洛維尼亞文 (sl)
斯瓦特文 (ss)
斯科特薩米文 (sms)
新挪威文 (nn)
旁遮普文 (pa)
日文 (ja)
日耳曼諸語言 (gem)
昂加语 (anp)
易洛魁文 (iro)
普什圖文 (ps)
普拉克里特諸語言 (pra)
曼丁哥文 (man)
曼尼普裡文 (mni)
曼島文 (gv)
曼達文 (mdr)
望加錫文 (mak)
未確定的 (und)
杜亞拉文 (dua)
東加文 (to)
東弗里西亞文 (frs)
林加拉文 (ln)
林堡文 (li)
柏柏爾文 (ber)
查加文 (chg)
查莫洛文 (ch)
柴羅基文 (chr)
根語言 (root)
格列博文 (grb)
格陵蘭文 (kl)
桑戈文 (sg)
桑海文 (son)
桑達韋文 (sad)
梵文 (sa)
楚瓦什文 (cv)
欽西安文 (tsi)
歐塞奇文 (osa)
歐洲腔調和洋涇濱，源自法文的(其他) (cpf)
歐洲腔調和洋涇濱，源自英文的(其他) (cpe)
歐洲腔調和洋涇濱，源自葡萄牙文的(其他) (cpp)
歐里亞文 (or)
比哈爾文 (bh)
比尼文 (bin)
比斯拉馬文 (bi)
比林文 (byn)
比科爾文 (bik)
毛利文 (mi)
沃拉普克文 (vo)
沃提克文 (vot)
沃爾夫文 (wo)
沃蒂艾克文 (udm)
沙伊安文 (chy)
法文 (fr)
法文 (瑞士) (fr_CH)
法羅文 (fo)
法蘭德斯文 (nl_BE)
波士尼亞文 (bs)
波斯文 (fa)
波羅的海諸語言 (bat)
波蘭文 (pl)
波那貝文 (pon)
泰文 (th)
泰盧固文 (te)
泰雷諾文 (ter)
泰頓文 (tet)
洛齊文 (loz)
海地文 (ht)
海達文 (hai)
混雜語諸語言 (mis)
湯加文(尼亞薩文) (tog)
溫達文 (ve)
滿族文 (mnc)
漢藏諸語言 (sit)
潘加辛文 (pag)
潘帕嘉文 (pam)
澤納加文 (zen)
澳洲諸語言 (aus)
烏克蘭文 (uk)
烏加列文 (uga)
烏爾都文 (ur)
烏茲別克文 (uz)
無語言內容 (zxx)
爪哇文 (jv)
特威文 (tw)
特松加文 (ts)
特林基特文 (tli)
猶太教-波斯文 (jpr)
猶太阿拉伯文 (jrb)
班圖諸語言 (bnt)
班巴拉文 (bm)
班達文 (bad)
瑞典文 (sv)
瑞士德文 (gsw)
瑟爾卡普文 (sel)
瑤文 (yao)
瓜拉尼文 (gn)
瓦卡什諸語言 (wak)
瓦拉莫文 (wal)
瓦瑞文 (war)
瓦紹文 (was)
瓦隆文 (wa)
白俄羅斯文 (be)
盧奧文 (luo)
盧安達文 (rw)
盧恩達文 (lun)
盧晒文 (lus)
盧森堡文 (lb)
祖尼文 (zun)
祖魯文 (zu)
科依桑諸語言 (khi)
科斯雷恩文 (kos)
科普特文 (cop)
科米文 (kv)
科羅文 (kfo)
科薩文 (xh)
科西嘉文 (co)
科隆達羅文 (gor)
突尼西亞文 (tn)
立陶宛語 (lt)
簡體中文 (zh_Hans)
米克馬克文 (mic)
米南卡堡文 (min)
米蘭德斯文 (mwl)
約魯巴文 (yo)
納瓦特文 (nah)
納瓦約文 (nv)
紐埃文 (niu)
索尼基文 (snk)
索布諸語言 (wen)
索格底亞納文 (sog)
索馬利文 (so)
維吾爾文 (ug)
緬甸文 (my)
繁體中文 (zh_Hant)
羅曼諸語言 (roa)
羅馬尼亞文 (ro)
羅馬尼亞語系 (rup)
胡帕文 (hup)
腓尼基文 (phn)
艾卡朱克文 (eka)
艾馬拉文 (ay)
芬烏諸語言 (fiu)
芬蘭文 (fi)
芳族文 (fan)
芳蒂文 (fat)
英文 (en)
英文 (澳洲) (en_AU)
英文 (美國) (en_US)
英文 (英國) (en_GB)
荷蘭文 (nl)
莫克沙文 (mdf)
莫西文 (mos)
莫霍克文 (moh)
菲律賓文 (fil)
菲律賓諸語言 (phi)
葛巴亞文 (gba)
葡萄牙文 (pt)
葡萄牙文 (葡萄牙) (pt_PT)
葡萄牙语（巴西） (pt_BR)
蒂格雷文 (tig)
蒙古文 (mn)
蒙古語 (lol)
蒙達諸語言 (mun)
蓋丘亞文 (qu)
薩利什諸語言 (sal)
薩摩亞文 (sm)
薩波特克文 (zap)
薩瑪利亞阿拉姆文 (sam)
薩米諸語言 (smi)
藏文 (bo)
蘇庫馬文 (suk)
蘇拉南東墎文 (srn)
蘇格蘭 - 蓋爾文 (gd)
蘇格蘭文 (sco)
蘇美文 (sux)
蘇蘇文 (sus)
蘇語諸語言 (sio)
蘭巴文 (lam)
處奇斯文 (chk)
西弗里西亞文 (fy)
西班牙文 (es)
西班牙文 (拉丁美洲) (es_419)
西班牙文 (西班牙) (es_ES)
西西里文 (scn)
西里莫圖土文 (ho)
西非書面語言（N'ko） (nqo)
諾蓋文 (nog)
諾魯文 (na)
豐文 (fon)
豪撒文 (ha)
貝扎文 (bej)
貢根文 (kok)
贊德文 (znd)
赫梯文 (hit)
赫雷羅文 (hz)
赫馬查利文 (him)
越南文 (vi)
越南文 Vai (vai)
路易塞諾文 (lui)
車臣文 (ce)
迪尤拉文 (dyu)
迪維西文 (dv)
迪雅克文 (day)
達爾格瓦文 (dar)
達科他文 (dak)
邁蒂利文 (mai)
邏輯文 (jbo)
鄂圖曼土耳其文 (1500-1928) (ota)
里托羅曼斯文 (rm)
金邦杜文 (kmb)
錫克錫卡文 (bla)
門德文 (men)
閃語諸語言 (sem)
阿僑利文 (ach)
阿勞坎文 (arn)
阿卡德文 (akk)
阿坎文 (ak)
阿姆哈拉文 (am)
阿布哈茲文 (ab)
阿帕切諸語言 (apa)
阿弗里希利文 (afh)
阿拉伯文 (ar)
阿拉帕霍文 (arp)
阿拉瓦克文 (arw)
阿拉米文 (arc)
阿拉貢文 (an)
阿斯圖里亞文 (ast)
阿曼文 (om)
阿法文 (aa)
阿燦文 (cch)
阿爾岡昆諸語言 (alg)
阿爾巴尼亞文 (sq)
阿爾泰諸語言（其他） (tut)
阿瓦文 (awa)
阿瓦爾文 (av)
阿留申文 (ale)
阿當莫文 (ada)
阿緯斯陀文 (ae)
阿薩姆文 (as)
阿薩帕斯坎諸語言 (ath)
阿迪各文 (ady)
隆迪文 (rn)
雅庫特文 (sah)
雅浦文 (yap)
韃靼文 (tt)
韓文 (ko)
馬來亞拉姆文 (ml)
馬來文 (ms)
馬其頓文 (mk)
馬加伊文 (mag)
馬拉地文 (mr)
馬爾他文 (mt)
馬爾加什文 (mg)
馬爾尼裡文 (mwr)
馬紹爾文 (mh)
馬諾博諸語言 (mno)
馬賽文 (mas)
馬都拉文 (mad)
馬里文 (chm)
馬雅諸語言 (myn)
高加索諸語言 (cau)
高地德文 (瑞士) (de_CH)
高棉文 (km)
魯勒薩米文 (smj)
魯巴加丹加文 (lu)
魯巴魯魯亞文 (lua)
