Sranan Tongo（源于克里奥尔语） (srn)
cch (cch)
巴里文 (ban)
巽他语 (su)
布吉文 (bug)
布拉杰文 (bra)
布林文 (byn)
布里亚特文 (bua)
布里多尼文 (br)
希伯来文 (he)
希利盖农文 (hil)
希腊文 (el)
希里莫图文 (ho)
帕劳文 (pau)
帕拉维文 (pal)
帕皮亚门托文 (pap)
库尔德文 (ku)
库梅克文 (kum)
库特内文 (kut)
库鲁克文 (kru)
弗拉芒语 (nl_BE)
弗留利文 (fur)
弗里斯兰文 (fy)
彻罗基文 (chr)
律勒欧萨莫斯语 (smj)
德文 (de)
恩东加文 (ng)
恩济马文 (nzi)
悉达摩文 (sid)
意大利文 (it)
手语 (sgn)
扎扎文 (zza)
托克劳文 (tkl)
托克皮辛文 (tpi)
拉丁文 (la)
拉丁美洲西班牙语 (es_419)
拉亨达文 (lah)
拉帕努伊文 (rap)
拉罗汤加文 (rar)
拉脱维亚文 (lv)
拉贾斯坦文 (raj)
拉迪诺文 (lad)
拿波里文 (nap)
挪威博克马尔文 (nb)
挪威尼诺斯克文 (nn)
挪威文 (no)
捷克文 (cs)
掸文 (shn)
提格里尼亚文 (ti)
提格雷文 (tig)
摩尔多瓦文 (mo)
摩霍克文 (moh)
散达维文 (sad)
文达文 (ve)
斐济文 (fj)
斯洛伐克文 (sk)
斯洛文尼亚文 (sl)
斯瓦希里文 (sw)
斯瓦特文 (ss)
斯科特萨米文 (sms)
旁遮普文 (pa)
无语言内容 (zxx)
日文 (ja)
旺杜文 (ewo)
昂加语 (anp)
普什图文 (ps)
普拉克里特诸语言 (pra)
普罗文斯文 (pro)
曼丁哥文 (man)
曼尼普里文 (mni)
曼达尔 (mdr)
望加锡文 (mak)
未定语种 (und)
林加拉文 (ln)
柏柏尔文 (ber)
查加文 (chg)
查米克文 (cmc)
查莫罗文 (ch)
柬埔寨文 (km)
根语言 (root)
格列博文 (grb)
格陵兰文 (kl)
格鲁吉亚文 (ka)
桑塔利文 (sat)
桑戈文 (sg)
桑海文 (son)
梵文 (sa)
楚吾克文 (chk)
楚瓦什文 (cv)
欧里亚文 (or)
比哈尔文 (bh)
比尼文 (bin)
比斯拉马文 (bi)
毕库尔文 (bik)
毛利文 (mi)
汤加文 (to)
汤加文（尼亚萨地区） (tog)
沃拉普克文 (vo)
沃提克文 (vot)
沃洛夫文 (wo)
法文 (fr)
法罗文 (fo)
波兰文 (pl)
波斯尼亚文 (bs)
波斯文 (fa)
波纳佩文 (pon)
泰卢固文 (te)
泰文 (th)
泰米尔文 (ta)
泽纳加文 (zen)
洛兹文 (loz)
海地文 (ht)
海达文 (hai)
淋布尔吉文 (li)
滕内语 (tem)
满文 (mnc)
澳大利亚语系 (aus)
澳斯特罗尼西亚语系 (map)
爪哇文 (jv)
爱尔兰文 (ga)
爱沙尼亚文 (et)
特列纳文 (ter)
特塔姆文 (tet)
特威文 (tw)
特拉华文 (del)
特林吉特文 (tli)
犹太波斯文 (jpr)
犹太阿拉伯文 (jrb)
玛雅语系 (myn)
班图文 (bnt)
班巴拉文 (bm)
班达文 (bad)
瑙鲁文 (na)
瑞典文 (sv)
瑞士德文 (gsw)
瑞士法语 (fr_CH)
瑶族文 (yao)
瓜拉尼文 (gn)
瓦伊文 (vai)
瓦卡什诸语言 (wak)
瓦拉莫文 (wal)
瓦绍文 (was)
瓦赖文 (war)
瓦隆文 (wa)
白俄罗斯文 (be)
盖丘亚文 (qu)
祖尼语 (zun)
祖鲁文 (zu)
科斯拉伊文 (kos)
科普特文 (cop)
科洛涅达罗文 (gor)
科米文 (kv)
科罗语 (kfo)
科萨文 (xh)
科西嘉文 (co)
立陶宛文 (lt)
米克马克文 (mic)
米兰德斯文 (mwl)
米南卡保文 (min)
索尼基文 (snk)
索布诸语言 (wen)
索马里文 (so)
约鲁巴文 (yo)
纳瓦特尔文 (nah)
纳瓦霍文 (nv)
纽埃文 (niu)
绍纳文 (sn)
维吾尔文 (ug)
缅甸文 (my)
罗马尼亚文 (ro)
翁本杜文 (umb)
老挝文 (lo)
胡帕文 (hup)
腓尼基文 (phn)
艾拉米特文 (elx)
艾马拉文 (ay)
芒戈文 (lol)
芬兰文 (fi)
芳格文 (fan)
芳蒂文 (fat)
苏库马文 (suk)
苏格兰文 (sco)
苏格兰盖尔文 (gd)
苏苏文 (sus)
苏语诸语言 (sio)
苏马文 (sux)
英文 (en)
英语（澳大利亚） (en_AU)
英语（美国） (en_US)
英语（英国） (en_GB)
荷兰文 (nl)
莫克沙文 (mdf)
莫西文 (mos)
莱兹依昂文 (lez)
菲律宾文 (fil)
萨丁文 (sc)
萨伊语 (mas)
萨利什文 (sal)
萨摩亚文 (sm)
萨波蒂克文 (zap)
萨玛利亚文 (sam)
萨萨克文 (sas)
葛巴亚文 (gba)
葡萄牙文 (pt)
葡萄牙语（巴西） (pt_BR)
蒂夫文 (tiv)
蒂姆西亚文 (tsi)
蒙古文 (mn)
蒙达语系 (mun)
藏文 (bo)
西班牙文 (es)
西班牙语（伊比利亚） (es_ES)
西西里文 (scn)
西非书面语言 (nqo)
诺盖文 (nog)
谢列尔文 (srr)
豪撒文 (ha)
赞德文 (znd)
赫梯文 (hit)
赫蒙文 (hmn)
赫雷罗文 (hz)
赫马查利文 (him)
越南文 (vi)
路易塞诺文 (lui)
车臣文 (ce)
达尔格瓦文 (dar)
达科他文 (dak)
达雅克文 (day)
迈蒂利文 (mai)
迦约文 (gay)
迪尤拉文 (dyu)
迪维希文 (dv)
通布卡文 (tum)
逻辑文 (jbo)
邦板牙文 (pam)
邦阿西楠语 (pag)
都阿拉文 (dua)
金邦杜文 (kmb)
门迪文 (men)
阿乔利文 (ach)
阿伊努文 (ain)
阿劳坎文 (arn)
阿卡德文 (akk)
阿塞拜疆文 (az)
阿姆哈拉文 (am)
阿尔巴尼亚文 (sq)
阿尔泰诸语言（其他） (tut)
阿布哈西亚文 (ab)
阿帕切文 (apa)
阿弗里希利文 (afh)
阿当梅文 (ada)
阿拉伯文 (ar)
阿拉帕霍文 (arp)
阿拉瓦克文 (arw)
阿拉米文 (arc)
阿拉贡文 (an)
阿斯图里亚思特文 (ast)
阿法文 (aa)
阿瓦乔文 (awa)
阿瓦尔文 (av)
阿留申文 (ale)
阿维斯塔文 (ae)
阿肯文 (ak)
阿萨姆文 (as)
阿萨帕斯坎语系 (ath)
阿迪何文 (ady)
隆达文 (lun)
雅库特文 (sah)
雅浦文 (yap)
非洲撒哈拉沙漠边缘地带语言 (ssa)
韩文 (ko)
马其顿文 (mk)
马加伊文 (mag)
马尔加什文 (mg)
马尔瓦利文 (mwr)
马恩岛文 (gv)
马拉地文 (mr)
马来亚拉姆文 (ml)
马来文 (ms)
马绍尔文 (mh)
马耳他文 (mt)
马诺博语系 (mno)
马都拉文 (mad)
马里文 (chm)
高地德文 (瑞士) (de_CH)
鲁巴加丹加文 (lu)
鲁巴鲁瓦文 (lua)
