阿布哈西亚文 (ab)
苏格兰盖尔文 (gd)
苏格兰文 (sco)
苏库马文 (suk)
苏里南汤加语 (srn)
苏马文 (sux)
苏苏文 (sus)
苏语诸语言 (sio)
宿务文 (ceb)
索布诸语言 (wen)
索马里文 (so)
索尼基文 (snk)
塔吉克文 (tg)
塔加洛语 (tl)
塔马奇克文 (tmh)
塔塔尔文 (tt)
塔西提文 (ty)
泰卢固文 (te)
泰米尔文 (ta)
泰文 (th)
汤加文 (to)
汤加文（尼亚萨地区） (tog)
特拉华文 (del)
特列纳文 (ter)
特林吉特文 (tli)
特塔姆文 (tet)
特威文 (tw)
滕内语 (tem)
提格雷文 (tig)
提格里尼亚文 (ti)
通布卡文 (tum)
图皮语系 (tup)
图瓦卢文 (tvl)
图瓦文 (tyv)
土耳其文 (tr)
土库曼文 (tk)
托克劳文 (tkl)
托克皮辛文 (tpi)
瓦卡什诸语言 (wak)
瓦拉莫文 (wal)
瓦赖文 (war)
瓦隆文 (wa)
瓦绍文 (was)
瓦伊文 (vai)
旺杜文 (ewo)
望加锡文 (mak)
威尔士文 (cy)
维吾尔文 (ug)
未知语言 (und)
文达文 (ve)
翁本杜文 (umb)
沃拉普克文 (vo)
沃洛夫文 (wo)
沃提克文 (vot)
乌德穆尔特文 (udm)
乌尔都文 (ur)
乌加里特文 (uga)
乌克兰文 (uk)
乌兹别克文 (uz)
无语言内容 (zxx)
希伯来文 (he)
希腊文 (el)
希里莫图文 (ho)
希利盖农文 (hil)
悉达摩文 (sid)
西班牙文 (es)
西非书面语言 (nqo)
西弗里西亚文 (fy)
西西里文 (scn)
下索布文 (dsb)
夏威夷文 (haw)
夏延文 (chy)
谢列尔文 (srr)
信德文 (sd)
匈牙利文 (hu)
叙利亚文 (syr)
巽他文 (su)
雅库特文 (sah)
雅浦文 (yap)
亚美尼亚文 (hy)
亚美尼亚语 (rup)
亚齐文 (ace)
瑶族文 (yao)
伊班文 (iba)
伊比利亚葡萄牙文 (pt_PT)
伊比利亚西班牙文 (es_ES)
伊多文 (io)
伊格博文 (ig)
伊朗文 (ira)
伊洛干诺文 (ilo)
伊洛魁语系 (iro)
伊纳里萨米语 (smn)
伊努伊特文 (iu)
伊乔文 (ijo)
依地文 (yi)
依奴皮维克文 (ik)
意大利文 (it)
印地文 (hi)
印度尼西亚文 (id)
印古什文 (inh)
英国英文 (en_GB)
英文 (en)
尤皮克诸语言 (ypk)
犹太阿拉伯文 (jrb)
犹太波斯文 (jpr)
约鲁巴文 (yo)
粤语 (yue)
越南文 (vi)
赞德文 (znd)
泽纳加文 (zen)
扎扎文 (zza)
爪哇文 (jv)
中古爱尔兰文 (mga)
中古法文 (frm)
中古高地德文 (gmh)
中古荷兰文 (dum)
中古英文 (enm)
中文 (zh)
壮文 (za)
宗加文 (ts)
宗教斯拉夫文 (cu)
祖鲁文 (zu)
祖尼语 (zun)
