abchaski (ab)
hausa (ha)
hawajski (haw)
hebrajski (he)
herero (hz)
hetycki (hit)
hiligajnon (hil)
himachali (him)
hindi (hi)
hiri motu (ho)
hiszpański (es)
hmongijski (hmn)
hupa (hup)
ibanag (iba)
ido (io)
igbo (ig)
ijo (ijo)
ilokano (ilo)
indoaryjski (inc)
indoeuropejski (ine)
indonezyjski (id)
inguski (inh)
inny język (mis)
interlingua (ia)
interlingue (ie)
inuktitut (iu)
inupiak (ik)
irański (ira)
irlandzki (ga)
irokeski (iro)
islandzki (is)
jakucki (sah)
japoński (ja)
japski (yap)
jawajski (jv)
język Apaczów (apa)
język Atapasków (ath)
język australijski (aus)
język bamileke (bai)
język banda (bad)
język Czejenów (chy)
język Indian południowoamerykańskich (sai)
język Indian północnoamerykańskich (nai)
język Indian środkowoamerykańskich (cai)
język Majów (myn)
język rdzenny (root)
języki algonkin (alg)
jidysz (yi)
jju (kaj)
joruba (yo)
judeoarabski (jrb)
judeoperski (jpr)
jupik (ypk)
kabardyjski (kbd)
kabylski (kab)
kaczin (kac)
kaddo (cad)
kałmucki (xal)
kamba (kam)
kanadyjski angielski (en_CA)
kanadyjski francuski (fr_CA)
kannada (kn)
kantoński (yue)
kanuri (kr)
karaczajsko-bałkarski (krc)
karakałpacki (kaa)
karelski (krl)
kareński (kar)
karibi (car)
kaszmirski (ks)
kaszubski (csb)
kataloński (ca)
kaukaski (cau)
kawi (kaw)
kazachski (kk)
keczua (qu)
khasi (kha)
khmerski (km)
khoisan (khi)
khosa (xh)
kikuju (ki)
kimbundu (kmb)
kinya-ruanda (rw)
kirgiski (ky)
klingoński (tlh)
komi (kv)
komoryjski (swb)
kongo (kg)
konkani (kok)
koptyjski (cop)
koreański (ko)
kornijski (kw)
koro (kfo)
korsykański (co)
kosrae (kos)
kpelle (kpe)
kreolski lub pidżin (crp)
kri (cr)
kru (kro)
krymski turecki (crh)
kumycki (kum)
kurdyjski (ku)
kurukh (kru)
kuszycki (cus)
kutenai (kut)
kwanyama (kj)
ladyński (lad)
lahnda (lah)
lamba (lam)
laotański (lo)
lapoński (smi)
lapoński Inari (smn)
lapoński Lule (smj)
lapoński południowy (sma)
lapoński północny (se)
lapoński Skolt (sms)
lezgijski (lez)
limburgijski (li)
lingala (ln)
litewski (lt)
lojban (jbo)
lozi (loz)
luba-katanga (lu)
luba-lulua (lua)
luiseno (lui)
luksemburski (lb)
lunda (lun)
luo (luo)
lushai (lus)
łaciński (la)
łotewski (lv)
łużycki (wen)
macedoński (mk)
madurajski (mad)
magahi (mag)
maithili (mai)
makasar (mak)
malajalam (ml)
malajski (ms)
malediwski (dv)
malgaski (mg)
maltański (mt)
manchu (mnc)
mandar (mdr)
mandingo (man)
manipuryjski (mni)
manobo (mno)
manx (gv)
maoryjski (mi)
marathi (mr)
marshall (mh)
marwari (mwr)
maryjski (chm)
masajski (mas)
mende (men)
micmac (mic)
migowy (sgn)
minangkabu (min)
mirandese (mwl)
mohawk (moh)
moksha (mdf)
mołdawski (mo)
mon-khmer (mkh)
mongo (lol)
mongolski (mn)
mossi (mos)
mundajski (mun)
n’ko (nqo)
nahuatl (nah)
nauru (na)
nawaho (nv)
ndebele południowy (nr)
ndebele północny (nd)
ndonga (ng)
neapolitański (nap)
nepalski (ne)
newarski (new)
newarski klasyczny (nwc)
niamwezi (nym)
nias (nia)
niderlandzki (nl)
niemiecki (de)
niemiecki (Szwajcaria) (gsw)
nieznany lub niepoprawny język (und)
nigrokordofański (nic)
nilosaharyjski (ssa)
niue (niu)
njandża (ny)
nogajski (nog)
norweski (no)
norweski Bokmål (nb)
norweski Nynorsk (nn)
nubijski (nub)
nyankole (nyn)
nyoro (nyo)
nzema (nzi)
odżibwa (oj)
orija (or)
ormiański (hy)
oromski (om)
osage (osa)
osetyjski (os)
osmańsko-turecki (ota)
otomi (oto)
pahlavi (pal)
palau (pau)
palijski (pi)
pampango (pam)
pangasino (pag)
papiamento (pap)
papuaski (paa)
paszto (ps)
pendżabski (pa)
perski (fa)
polski (pl)
południowoałtajski (alt)
ponpejski (pon)
portugalski (pt)
portugalski (Półwysep Iberyjski) (pt_PT)
portugalski kreolski lub pidżin (cpp)
północnofryzyjski (frr)
prakryty (pra)
prowansalski (oc)
radźasthani (raj)
rapanui (rap)
rarotonga (rar)
retoromański (rm)
romański (roa)
rosyjski (ru)
rumuński (ro)
rundi (rn)
salisz (sal)
samarytański aramejski (sam)
samoański (sm)
sandawe (sad)
sango (sg)
sanskryt (sa)
santali (sat)
sardyński (sc)
sasak (sas)
selkupski (sel)
semicki (sem)
serbski (sr)
serbsko-chorwacki (sh)
serer (srr)
setswana (tn)
shan (shn)
sidamo (sid)
siksika (bla)
sindhi (sd)
siouański (sio)
siswati (ss)
slave (den)
słowacki (sk)
słoweński (sl)
słowiański (sla)
sogdyjski (sog)
somalijski (so)
songhaj (son)
soninke (snk)
sotho południowy (st)
sotho północny (nso)
sranan tongo (srn)
staro-cerkiewno-słowiański (cu)
staro-wysoko-niemiecki (goh)
staroangielski (ang)
starofrancuski (fro)
starogrecki (grc)
staroirlandzki (sga)
staronordyjski (non)
staroperski (peo)
staroprowansalski (pro)
starożytny egipski (egy)
suahili (sw)
sukuma (suk)
sumeryjski (sux)
sundajski (su)
susu (sus)
sycylijski (scn)
syczuański (ii)
syngaleski (si)
syriacki (syc)
syryjski (syr)
szkocki (sco)
szkocki gaelicki (gd)
szona (sn)
sztuczny (art)
szwedzki (sv)
średnio-wysoko-niemiecki (gmh)
średnioangielski (enm)
średniofrancuski (frm)
średnioirlandzki (mga)
średniowieczny niderlandzki (dum)
tadżycki (tg)
tagalski (tl)
tahitański (ty)
tajski (th)
tamaszek (tmh)
tamilski (ta)
tatarski (tt)
telugu (te)
temne (tem)
tereno (ter)
tetum (tet)
tigre (tig)
tigrinia (ti)
tiw (tiv)
tlingit (tli)
tok pisin (tpi)
tokelau (tkl)
tonga (to)
tonga (Niasa) (tog)
truk (chk)
tsimshian (tsi)
tsonga (ts)
tumbuka (tum)
tupi (tup)
turecki (tr)
turkmeński (tk)
tuvalu (tvl)
tuwiński (tyv)
twi (tw)
tyap (kcg)
tybetański (bo)
udmurcki (udm)
ugarycki (uga)
ugrofiński (fiu)
ujgurski (ug)
ukraiński (uk)
umbundu (umb)
urdu (ur)
uzbecki (uz)
venda (ve)
volapuk (vo)
wai (vai)
wakasz (wak)
walamo (wal)
walijski (cy)
waloński (wa)
waraj (war)
washo (was)
węgierski (hu)
wietnamski (vi)
włoski (it)
wolof (wo)
wotiacki (vot)
wysokoniemiecki (Szwajcaria) (de_CH)
yao (yao)
zapotecki (zap)
zazaki (zza)
zenaga (zen)
zulu (zu)
zuni (zun)
żargon Chinook (chn)
