アイスランド語 (is)
トリンギット語 (tli)
トルクメン語 (tk)
トルコ語 (tr)
トンガ語 (to)
トンガ語[ニアサ] (tog)
ナイル・サハラ諸語 (ssa)
ナウル語 (na)
ナバホ語 (nv)
ナポリ語 (nap)
ナワトル語 (nah)
ニアス語 (nia)
ニウーエイ語 (niu)
ニジェール・コルドファン諸語 (nic)
ニャムウェジ語 (nym)
ニャンコレ語 (nyn)
ニャンジャ語、チチェワ語、チェワ語 (ny)
ニョロ語 (nyo)
ヌビア語族 (nub)
ネパール語 (ne)
ネワール語 (new)
ノガイ語 (nog)
ノルウェー語 (no)
ノルウェー語[ニーノシュク] (nn)
ノルウェー語[ブークモール] (nb)
パーリ語 (pi)
ハイダ語 (hai)
ハイチ語 (ht)
ハウサ語 (ha)
バサ語 (bas)
バシキール語 (ba)
パシュトゥー語 (ps)
バスク語 (eu)
バタク語 (btk)
パピアメント語 (pap)
パプア諸語 (paa)
パフラヴィ語 (pal)
バミレケ語族 (bai)
バヤ語 (gba)
パラオ語 (pau)
バリ語 (ban)
バルーチー語 (bal)
バルト諸語 (bat)
ハワイ語 (haw)
パンガシナン語 (pag)
ハンガリー語 (hu)
パンジャブ語 (pa)
バンダ語 (bad)
バントゥ諸語 (bnt)
バンバラ語 (bm)
パンパンガ語 (pam)
ビーチ・ラ・マー 等 (chn)
ビコル語 (bik)
ビスラマ語 (bi)
ヒッタイト語 (hit)
ビニ語 (bin)
ビハール語 (bh)
ヒマチャル語 (him)
ヒリガイノン語 (hil)
ヒリモトゥ語 (ho)
ビリン語 (byn)
ビルマ語 (my)
ヒンディー語 (hi)
ファング語 (fan)
ファンティー語 (fat)
フィジー語 (fj)
フィリピノ語 (fil)
フィリピン諸語 (phi)
フィン・ウゴル諸語 (fiu)
フィンランド語 (fi)
フェニキア語 (phn)
フェロー語 (fo)
フォン語 (fon)
ブギ語 (bug)
フモン語 (hmn)
プラークリット語族 (pra)
ブラジ語 (bra)
フラニ語 (ff)
フランス語 (fr)
フランス語[カナダ] (fr_CA)
フランス語[スイス] (fr_CH)
フランス語が基盤の混成語・混合語 (cpf)
フリウリ語 (fur)
フリジア語 (fy)
ブリヤート語 (bua)
ブルガリア語 (bg)
ブルトン語 (br)
フレミッシュ語 (nl_BE)
ベジャ語 (bej)
ベトナム語 (vi)
ベナ語 (bez)
ヘブライ語 (he)
ベラルーシ語 (be)
ペルシア語 (fa)
ベルベル諸語 (ber)
ヘレロ語 (hz)
ベンガル語 (bn)
ベンダ語 (ve)
ベンバ語 (bem)
ボージプリー語 (bho)
ボート語 (vot)
ポーランド語 (pl)
ボスニア語 (bs)
ボド語 (brx)
ボラピュク語 (vo)
ポルトガル語 (pt)
ポルトガル語[イベリア半島] (pt_PT)
ポルトガル語[ブラジル] (pt_BR)
ポルトガル語が基盤の混成語・混合語 (cpp)
ポンペイ語 (pon)
マーシャル語 (mh)
マールワーリー語 (mwr)
マイティリー語 (mai)
マオリ語 (mi)
マカッサル語 (mak)
マガヒー語 (mag)
マケドニア語 (mk)
マサイ語 (mas)
マダガスカル語 (mg)
マドゥラ語 (mad)
マニプル語 (mni)
マノボ語族 (mno)
マヤ語族 (myn)
マラーティー語 (mr)
マラヤーラム語 (ml)
マリ語 (chm)
マルタ語 (mt)
マレー語 (ms)
マンダル語 (mdr)
マンディンゴ語 (man)
マン島語 (gv)
ミクマク語 (mic)
ミナンカバウ語 (min)
ミランダ語 (mwl)
ムンダ語族 (mun)
メンデ語 (men)
モーホーク語 (moh)
モクシャ語 (mdf)
モシ語 (mos)
モルダビア語 (mo)
モン・クメール諸語 (mkh)
モンゴル語 (mn)
モンゴ語 (lol)
ヤオ語 (yao)
ヤクート語 (sah)
ヤップ語 (yap)
ユダヤ・アラビア語 (jrb)
ユダヤ・ペルシア語 (jpr)
ユピック語族 (ypk)
ヨルバ語 (yo)
ラージャスターン語 (raj)
ラオ語 (lo)
ラジノ語 (lad)
ラテン語 (la)
ラトビア語 (lv)
ラパヌイ語 (rap)
ラフンダー語 (lah)
ラロトガ語 (rar)
ランバ語 (lam)
リトアニア語 (lt)
リンガラ語 (ln)
リンブルフ語 (li)
ルイセーニョ語 (lui)
ルート (root)
ルーマニア語 (ro)
ルオ語 (luo)
ルクセンブルク語 (lb)
ルシャイ語 (lus)
ルバ・カタンガ語 (lu)
ルバ・ルルア語 (lua)
ルヒヤ語 (luy)
ルレ・サーミ語 (smj)
ルワンダ語 (rw)
ルワ語 (rwk)
ルンダ語 (lun)
ルンディ語 (rn)
レズギ語 (lez)
レト・ロマン語 (rm)
ロシア語 (ru)
ロジバン語 (jbo)
ロズィ語 (loz)
ロマーニー語 (rom)
ロマンス諸語 (roa)
ロンボ語 (rof)
ワカシ語族 (wak)
ワショ語 (was)
ワッラモ語 (wal)
ワライ語 (war)
ワロン語 (wa)
ンコ語 (nqo)
ンゼマ語 (nzi)
ンドンガ語 (ng)
印欧諸語 (ine)
英語 (en)
英語が基盤の混成語・混合語 (cpe)
簡体中国語 (zh_Hans)
韓国語 (ko)
教会スラブ語 (cu)
言語的内容なし (zxx)
古ノルド語 (non)
古フランス語 (fro)
古期アイルランド語 (sga)
古期プロバンス語 (pro)
古高ドイツ語 (goh)
古代エジプト語 (egy)
古代ギリシャ語 (grc)
古代ペルシア語 (peo)
古代英語 (ang)
古典ネワール語 (nwc)
広東語 (yue)
四川イ語 (ii)
手まね言語 (sgn)
上ソルビア語 (hsb)
人工諸語 (art)
正統ドイツ語[スイス] (de_CH)
中期アイルランド語 (mga)
中期フランス語 (frm)
中高ドイツ語 (gmh)
中国語 (zh)
中世オランダ語 (dum)
中世英語 (enm)
中米インディアン諸語 (cai)
低ソルビア語 (dsb)
低地ドイツ語、低地サクソン語 (nds)
東フリジア語 (frs)
南アルタイ語 (alt)
南サーミ語 (sma)
南ンデベレ語 (nr)
南部ソト語 (st)
南米インディアン諸語 (sai)
日本語 (ja)
繁体中国語 (zh_Hant)
非確定 (und)
北サーミ語 (se)
北ンデベレ語 (nd)
北部ソト語 (nso)
北米インディアン諸語 (nai)
満州語 (mnc)
