Abchasisch (ab)
Nyankole (nyn)
Nyoro (nyo)
Nzima (nzi)
Obersorbisch (hsb)
Ojibwa-Sprache (oj)
Okzitanisch (oc)
Olulujia (luy)
Oraon-Sprache (kru)
Orija (or)
Oromo (om)
Osage-Sprache (osa)
Osmanisch (ota)
Ossetisch (os)
Osterinsel-Sprache (rap)
Österreichisches Deutsch (de_AT)
Ostfriesisch (frs)
Otomangue-Sprache (oto)
Palau (pau)
Pali (pi)
Pampanggan-Sprache (pam)
Pandschabisch (pa)
Pangasinan-Sprache (pag)
Pangwe-Sprache (fan)
Papiamento (pap)
Papuasprache (paa)
Paschtu (ps)
Persisch (fa)
Philippinen-Austronesisch (phi)
Phönikisch (phn)
Polnisch (pl)
Ponapeanisch (pon)
Portugiesisch (pt)
Prakrit (pra)
Quechua (qu)
Rajasthani (raj)
Rarotonganisch (rar)
Rätoromanisch (rm)
Romani (rom)
Romanische Sprache (roa)
Root (root)
Rotse-Sprache (loz)
Ruandisch (rw)
Rumänisch (ro)
Rundi-Sprache (rn)
Russisch (ru)
Sakisch (kho)
Salish-Sprache (sal)
Samaritanisch (sam)
Samoanisch (sm)
Sandawe-Sprache (sad)
Sango (sg)
Sanskrit (sa)
Santali (sat)
Sardisch (sc)
Sasak (sas)
Schan-Sprache (shn)
Schottisch (sco)
Schottisches Gälisch (gd)
Schwedisch (sv)
Schweizer Französisch (fr_CH)
Schweizer Hochdeutsch (de_CH)
Schweizerdeutsch (gsw)
Selkupisch (sel)
Semitisch (sem)
Serbisch (sr)
Serbo-Kroatisch (sh)
Serer-Sprache (srr)
Shona (sn)
Sichuan Yi (ii)
Sidamo (sid)
Sindhi (sd)
Singhalesisch (si)
Sinotibetisch (sit)
Sioux-Sprache (sio)
Sizilianisch (scn)
Skolt-Lappisch (sms)
Slave (den)
Slawisch (sla)
Slowakisch (sk)
Slowenisch (sl)
Sogdisch (sog)
Somali (so)
Songhai-Sprache (son)
Soninke-Sprache (snk)
Sorbisch (wen)
Spanisch (es)
Srananisch (srn)
Suaheli (sw)
Süd-Altaisch (alt)
Süd-Ndebele-Sprache (nr)
Süd-Samisch (sma)
Süd-Sotho-Sprache (st)
Südamerikanische Indianersprache (sai)
Sukuma-Sprache (suk)
Sumerisch (sux)
Sundanesisch (su)
Susu (sus)
Swazi (ss)
Syrisch (syr)
Tadschikisch (tg)
Tagalog (tl)
Tahitisch (ty)
Tai-Sprache (tai)
Tamaseq (tmh)
Tamilisch (ta)
Tatarisch (tt)
Telugu (te)
Temne (tem)
Tereno-Sprache (ter)
Tetum-Sprache (tet)
Thailändisch (th)
Tibetisch (bo)
Tigre (tig)
Tigrinja (ti)
Tiv-Sprache (tiv)
Tlingit-Sprache (tli)
Tokelauanisch (tkl)
Tongaisch (to)
Trukesisch (chk)
Tschagataisch (chg)
Tschechisch (cs)
Tscheremissisch (chm)
Tschetschenisch (ce)
Tschuwaschisch (cv)
Tsimshian-Sprache (tsi)
Tsonga (ts)
Tsonga-Sprache (tog)
Tswana-Sprache (tn)
Tumbuka-Sprache (tum)
Tupi-Sprache (tup)
Türkisch (tr)
Turkmenisch (tk)
Tuwinisch (tyv)
Twi (tw)
Tyap (kcg)
Udmurtisch (udm)
Ugaritisch (uga)
Uigurisch (ug)
Ukrainisch (uk)
Unbestimmte Sprache (und)
Ungarisch (hu)
Urdu (ur)
Usbekisch (uz)
Vai-Sprache (vai)
Venda-Sprache (ve)
Vietnamesisch (vi)
Volapük (vo)
Wakashanisch (wak)
Walamo-Sprache (wal)
Walisisch (cy)
Wallonisch (wa)
Waray (war)
Washo-Sprache (was)
Weissrussisch (be)
Wolof (wo)
Wotisch (vot)
Xhosa (xh)
Yao-Sprache (yao)
Yapesisch (yap)
Yoruba (yo)
Yupik-Sprache (ypk)
Zande-Sprache (znd)
Zapotekisch (zap)
Zaza (zza)
Zenaga (zen)
Zentralamerikanische Indianersprache (cai)
Zhuang (za)
Zulu (zu)
Zuni-Sprache (zun)
